knob,production_spread_pct,risk_spread_pp,risk_spread_pct,max_cutoff_cells_changed,n_values_tested,n_failed,impact_score
multiplier,52.301,0.014,1.288,62,4,0,52.301
stress_mode,27.591,0.0046,0.424,53,3,0,27.591
reject_uplift_factor,13.271,0.0071,0.654,16,4,0,13.271
reject_parceling_method,10.806,0.0074,0.675,23,3,0,10.806
cv_folds,3.847,0.0006,0.055,15,2,0,3.847
reject_bayesian_prior_strength,1.465,0.0025,0.233,4,2,0,1.465
reject_decay_half_life,0.98,0.0034,0.313,8,2,0,0.98
pareto_n_points,0.898,0.0096,0.882,4,2,0,0.898
reject_max_risk_multiplier,0.465,0.0027,0.247,7,4,0,0.465
per_bin_tasa_fin,0.239,0.0042,0.382,16,1,0,0.382
ri_calibration_gamma,0.0,0.0,0.0,0,3,1,0.0
run_ri_optimizer,0.0,0.0,0.0,0,1,0,0.0
mr_min_obs_per_bin,0.0,0.0,0.0,0,2,0,0.0
multiplier_h3,0.0,0.0,0.0,0,2,0,0.0
mr_extrapolation_method,0.0,0.0,0.0,0,2,0,0.0
mr_extrapolation_risk_multiplier,0.0,0.0,0.0,0,2,0,0.0
mr_extrapolation_hard_cap,0.0,0.0,0.0,0,2,0,0.0
use_mr_outcomes,0.0,0.0,0.0,0,1,0,0.0
monotonicity_relaxation,0.0,0.0,0.0,0,1,0,0.0
mono_z_threshold,0.0,0.0,0.0,0,2,0,0.0
mr_maturity_months,0.0,0.0,0.0,0,2,0,0.0
